NumIters,Seconds,LearningRate,accuracy,loss
0.0,3.828917,0.0001,0.1,73.512
1000.0,285.802185,0.0001,0.5,8.91382
2000.0,415.141183,0.0001,0.52,6.2935
3000.0,534.804983,0.0001,0.57,3.87018
4000.0,655.304405,0.0001,0.65,3.22809
5000.0,779.260524,0.0001,0.69,3.21256
6000.0,907.586427,0.0001,0.7,3.17564
7000.0,1039.688919,0.0001,0.68,3.551
8000.0,1179.277834,0.0001,0.7,3.17241
9000.0,1330.359446,0.0001,0.75,3.19208
10000.0,1473.178701,0.0001,0.75,2.51503
11000.0,1626.675291,0.0001,0.75,1.39396
12000.0,1786.954591,0.0001,0.75,2.09842
13000.0,1959.954704,0.0001,0.82,1.1694
14000.0,2151.138686,0.0001,0.76,2.55521
15000.0,2357.950979,0.0001,0.85,1.62791
16000.0,2571.529247,0.0001,0.77,2.39714
17000.0,2805.896939,0.0001,0.81,2.1632
18000.0,3077.827378,0.0001,0.8,2.57703
19000.0,3372.092288,0.0001,0.79,2.33969
