NumIters,Seconds,LearningRate,accuracy,loss
0.0,4.129831,0.0001,0.0,81.308
1000.0,117.086884,0.0001,0.39,1.70844
2000.0,219.124634,0.0001,0.45,1.57837
3000.0,315.269917,0.0001,0.45,1.49036
4000.0,412.704584,0.0001,0.46,1.41299
5000.0,510.043907,0.0001,0.52,1.34034
6000.0,602.461825,0.0001,0.53,1.22308
7000.0,698.960809,0.0001,0.61,1.12306
8000.0,793.324093,0.0001,0.65,1.01325
9000.0,891.947735,0.0001,0.67,0.910523
10000.0,996.838482,0.0001,0.7,0.797544
11000.0,1088.539461,0.0001,0.77,0.735704
12000.0,1188.450803,0.0001,0.74,0.828864
13000.0,1286.582919,0.0001,0.76,0.734376
14000.0,1390.89036,0.0001,0.77,0.673416
15000.0,1494.227864,0.0001,0.8,0.612951
16000.0,1592.546743,0.0001,0.79,0.605096
17000.0,1697.628446,0.0001,0.76,0.638726
18000.0,1802.234128,0.0001,0.8,0.515057
19000.0,1903.256451,0.0001,0.78,0.508843
20000.0,2012.806726,0.0001,0.81,0.453627
