NumIters,Seconds,LearningRate,accuracy,loss
0.0,4.1409,0.0001,0.0,80.9607
1000.0,104.947593,0.0001,0.44,1.668
2000.0,199.763754,0.0001,0.46,1.48891
3000.0,288.645023,0.0001,0.55,1.38921
4000.0,377.212917,0.0001,0.58,1.28007
5000.0,465.348835,0.0001,0.63,1.16364
6000.0,555.065279,1e-05,0.63,1.15442
7000.0,643.379229,1e-05,0.63,1.12851
8000.0,732.032635,1e-05,0.64,1.10837
9000.0,821.203166,1e-05,0.66,1.08775
10000.0,909.439056,1e-05,0.66,1.06933
11000.0,997.59717,1e-06,0.66,1.05345
12000.0,1085.634014,1e-06,0.65,1.05125
13000.0,1174.920926,1e-06,0.65,1.04901
14000.0,1263.073848,1e-06,0.66,1.04655
15000.0,1351.485102,1e-06,0.66,1.04424
16000.0,1443.481162,1e-07,0.66,1.04379
17000.0,1536.389755,1e-07,0.66,1.04394
18000.0,1631.09323,1e-07,0.66,1.0439
19000.0,1731.147573,1e-07,0.66,1.04378
20000.0,1824.817683,1e-07,0.66,1.04362
21000.0,1917.536561,1e-08,0.66,1.04351
22000.0,2014.211233,1e-08,0.66,1.04353
